Mineral_Name,IMA_Formula,IMA_Formula_Simple,IMA_Mineral_Symbol,Mineral_Alias_1,Mineral_Alias_2,Mineral_Alias_3,Mineral_Alias_4
Achalaite,Fe2+TiNb2O8,FeTiNb2O8,Ahl,
Achavalite,FeSe,FeSe,Ahv,
Achyrophanite,"(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5","(K,Na)3(Fe,Ti,Al,Mg)5O2(AsO4)5",Aph,
Acmonidesite,"(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8","(NH4,K,Pb,Na)9Fe4(SO4)5Cl8",Acm,
Actinolite,[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2," Ca2(Mg4.5-2.5Fe0.5-2.5)Si8O22(OH)2",Act,
Adachiite,CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),CaFe3Al6(Si5AlO18)(BO3)3(OH)3(OH),Adc,
Adranosite-(Fe),(NH4)4NaFe2(SO4)4Cl(OH)2,(NH4)4NaFe2(SO4)4Cl(OH)2,Arn-Fe,
Aegirine,NaFe3+Si2O6,NaFeSi2O6,Aeg,
Aegirine-augite,"(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","(Ca,Na)(Fe,Mg,Fe)Si2O6",Aeg-Aug,
Aenigmatite,Na4[Fe2+10Ti2]O4[Si12O36],Na4[Fe10Ti2]O4[Si12O36],Aen,
Aerinite,"(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","(Ca,Na)6(Fe,Fe,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O",Aer,
Aeschynite-(Ce),"(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6","(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6",Aes-Ce,
Aheylite,Fe2+Al6(PO4)4(OH)8·4H2O,FeAl6(PO4)4(OH)8·4H2O,Ahe,
Ahrensite,SiFe2O4,SiFe2O4,Ahr,γ-Fe2SiO4
Akaganeite,"(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O","(Fe,Ni)8(OH,O)16Cl1.25·nH2O",Akg,β-FeOOH,β-FeO(OH)
Albertiniite,Fe2+(SO3)·3H2O,Fe(SO3)·3H2O,Abt,FeSO3·3H2O
Alcantarillaite,[Fe3+0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(AsO4)2O7],[Fe0.5(H2O)4][CaAs2(Fe2.5W0.5)(AsO4)2O7],Alc,
Alcaparrosaite,K3Ti4+Fe3+(SO4)4O(H2O)2,K3TiFe(SO4)4O(H2O)2,Apr,
Allabogdanite,"(Fe,Ni)2P","(Fe,Ni)2P",Abg,
Allanite-(Ce),CaCe(Al2Fe2+)[Si2O7][SiO4]O(OH),CaCe(Al2Fe)[Si2O7][SiO4]O(OH),Aln-Ce,
Allanite-(La),CaLa(Al2Fe2+)[Si2O7][SiO4]O(OH),CaLa(Al2Fe)[Si2O7][SiO4]O(OH),Aln-La,
